A01,ARB287a,Terminators,bgPA
A02,ARB287a,Terminators,bgPA
A03,ARB287a,Terminators,bgPA
A04,ARB287b,Terminators,SV40PA
A05,ARB287b,Terminators,SV40PA
A06,ARB287b,Terminators,SV40PA
A07,ARB287c,Terminators,rgPA
A08,ARB287c,Terminators,rgPA
A09,ARB287c,Terminators,rgPA
A10,ARB287d,Terminators,Spacer
A11,ARB287d,Terminators,Spacer
A12,ARB287d,Terminators,Spacer
B01,ARB287e,Terminators,Spacer (NO STOP)
B02,ARB287e,Terminators,Spacer (NO STOP)
B03,ARB287e,Terminators,Spacer (NO STOP)
,,,
