A01,Parental,Parental
A02,LP057-H9,LP
A03,LP057-H9+446,LP + H2B::GFP
A04,Parental,Parental
A05,LP057-H9,LP
A06,LP057-H9+446,LP + H2B::GFP
A07,Parental,Parental
A08,LP057-H9,LP
A09,LP057-H9+446,LP + H2B::GFP
A10,Parental,Parental
A11,LP057-H9,LP
A12,LP057-H9+446,LP + H2B::GFP
